logFC	Gene.symbol	Gene.title
-13100129,00	FAM189A2	family with sequence similarity 189 member A2
-0,91	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
-21668033,00	GPX3	glutathione peroxidase 3
-33469048,00	ADH1B	alcohol dehydrogenase 1B (class I)
-11953862,00	SESN1	sestrin 1
-13150874,00	SPTBN1	spectrin beta
-22598436,00	PDZD2	PDZ domain containing 2
-21113993,00	MFAP4	microfibrillar associated protein 4
-18977551,00	RAMP3	receptor (G protein-coupled) activity modifying protein 3
-21392659,00	CLDN18	claudin 18
-24641038,00	CAV2	caveolin 2
-19243565,00	KLF2	Kruppel like factor 2
-0,91	PKNOX2	PBX/knotted 1 homeobox 2
-0,92	KCNJ8	potassium voltage-gated channel subfamily J member 8
-35703127,00	TMEM100	transmembrane protein 100
-16851718,00	METTL7A	methyltransferase like 7A
-0,93	ARHGEF15	Rho guanine nucleotide exchange factor 15
-0,99	SLIT3	slit guidance ligand 3
-1189899,00	SYNM	synemin
-1293311,00	MACF1	microtubule-actin crosslinking factor 1
-17637719,00	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta
-10498173,00	CD34	CD34 molecule
-1,00	GFOD1	glucose-fructose oxidoreductase domain containing 1
-1705887,00	ERG	ERG
-10070375,00	DIAPH2	diaphanous related formin 2
-0,98	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase
-1142009,00	LRRC32	leucine rich repeat containing 32
-19229773,00	ADGRL2	adhesion G protein-coupled receptor L2
-1564591,00	TMEM204	transmembrane protein 204
-15196784,00	HEG1	heart development protein with EGF like domains 1
-0,66	PPM1F	protein phosphatase
-23892576,00	LPL	lipoprotein lipase
-36784673,00	ADH1B	alcohol dehydrogenase 1B (class I)
-12733401,00	RASL12	RAS like family 12
-14460386,00	COX7A1	cytochrome c oxidase subunit 7A1
-10895147,00	KANK3	KN motif and ankyrin repeat domains 3
-14761859,00	PTPRB	protein tyrosine phosphatase
-13757525,00	ENG	endoglin
-15189397,00	FBLN5	fibulin 5
-20015092,00	CHRDL1	chordin like 1
-21585232,00	CFD	complement factor D
-14024571,00	HOXA5	homeobox A5
-0,67	REEP1	receptor accessory protein 1
-0,99	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase
