"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","anatomical structure morphogenesis","GO:0009653","false","1.037474848264691e-15","14.984022423186724","2713","182","71","21026","CD36,CDH5,NPR1,TEK,TCF21,JAM2,STARD13,GPM6A,FHL1,FOXF1,AGTR1,TAL1,RAMP2,RASIP1,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,ADARB1,S1PR1,CD93,SLIT2,SLIT3,MMRN2,SVEP1,TIE1,LIMS2,EMCN,RGCC,TBX2,SEMA5A,TNNC1,FEZ1,SPTBN1,CRYAB,NOTCH4,HEG1,EMP2,LYVE1,MFNG,KLF2,KCNJ8,TMEM100,ARHGEF15,MACF1,CD34,PTPRB,ENG,HOXA5,QKI,GATA2,VSTM4,DLC1,GATA6,ANGPT1,TBX3,FRY,KLF4,SOSTDC1,PID1,ZBTB16,PTPRD,CPB2,GHR,TGFBR2,TRPV2,ANOS1,SEMA3G,ID4"
"GO:BP","developmental process","GO:0032502","false","3.267912734684905e-15","14.485729549248196","6553","182","114","21026","CD36,GRK5,EDNRB,CDH5,AGER,NPR1,TEK,TCF21,JAM2,PECAM1,STARD13,GPM6A,DUOX1,FHL1,FABP4,FOXF1,AGTR1,LDB2,TAL1,RAMP2,RASIP1,TGFBR3,CLDN5,KCNK3,EPAS1,FZD4,CAV1,SASH1,ADARB1,LRRN3,SPOCK2,S1PR1,TACC1,GPM6B,CD93,SLIT2,SLIT3,ASPA,MMRN2,SVEP1,TIE1,LIMS2,RAI2,EMCN,ACACB,CLDN18,GJA4,CAT,RGCC,TBX2,SEMA5A,TNNC1,FEZ1,SPTBN1,CRYAB,NOTCH4,HEG1,EMP2,ADIRF,ITM2A,LYVE1,MFNG,CAV2,KLF2,KCNJ8,TMEM100,ARHGEF15,MACF1,CD34,DIAPH2,LRRC32,TMEM204,LPL,PTPRB,ENG,CHRDL1,HOXA5,QKI,PDLIM2,GATA2,VSTM4,CDO1,WFS1,DOCK4,KL,PCDH12,DLC1,SNRK,GATA6,ANGPT1,TBX3,FRY,KLF4,DNASE1L3,DACH1,BCHE,SOSTDC1,ADRB2,DPYSL2,PID1,ZBTB16,PTPRD,CPB2,GHR,WIF1,GAB2,KANK2,TGFBR2,TRPV2,ANOS1,EML1,SEMA3G,PCDH17,ID4"
"GO:BP","anatomical structure formation involved in morphogenesis","GO:0048646","false","8.616918970349645e-15","14.064647990946208","1199","182","46","21026","CD36,CDH5,NPR1,TEK,TCF21,JAM2,STARD13,FOXF1,AGTR1,TAL1,RAMP2,RASIP1,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,S1PR1,CD93,SLIT2,MMRN2,TIE1,EMCN,RGCC,TBX2,SEMA5A,SPTBN1,NOTCH4,EMP2,MFNG,KLF2,TMEM100,CD34,PTPRB,ENG,HOXA5,QKI,GATA2,VSTM4,DLC1,GATA6,ANGPT1,TBX3,KLF4,TGFBR2"
"GO:BP","multicellular organismal process","GO:0032501","false","6.538405252716653e-14","13.184528165192747","7322","182","119","21026","FAM107A,CD36,EDNRB,CDH5,AGER,NPR1,TEK,TCF21,JAM2,PECAM1,STARD13,GPM6A,DUOX1,VWF,FABP4,FOXF1,AGTR1,LDB2,TAL1,RAMP2,RASIP1,ACADL,TGFBR3,CLDN5,SFTPC,EPAS1,FZD4,CAV1,SASH1,ADARB1,LRRN3,SPOCK2,S1PR1,TACC1,GPM6B,CD93,SLIT2,SLIT3,ASPA,MMRN2,SVEP1,TIE1,LIMS2,RAI2,EMCN,PPM1F,ACACB,FXYD1,CLDN18,GJA4,CAT,RGCC,TBX2,SEMA5A,TNNC1,FEZ1,SPTBN1,CRYAB,NOTCH4,CLIC5,HEG1,EMP2,ITM2A,MFNG,RAMP3,KLF2,KCNJ8,TMEM100,ARHGEF15,SYNM,MACF1,CD34,LRRC32,TMEM204,LPL,PTPRB,ENG,CHRDL1,HOXA5,FMO2,QKI,PDLIM2,THBD,GATA2,ARRB1,VSTM4,WFS1,DOCK4,KL,PCDH12,DLC1,GATA6,ANGPT1,TBX3,FRY,KLF4,DNASE1L3,DACH1,BCHE,SOSTDC1,ADRB2,DPYSL2,ZBTB16,PTPRD,CPB2,GHR,WIF1,GAB2,KANK2,TGFBR2,ABHD6,TRPV2,ANOS1,EML1,HBB,SELP,SEMA3G,PCDH17,ID4"
"GO:BP","animal organ development","GO:0048513","false","2.9365441475050494e-13","12.5321634656626","3085","182","72","21026","EDNRB,TEK,TCF21,PECAM1,GPM6A,FHL1,FOXF1,AGTR1,LDB2,TAL1,RAMP2,TGFBR3,CLDN5,KCNK3,EPAS1,FZD4,CAV1,ADARB1,S1PR1,TACC1,GPM6B,SLIT2,SLIT3,TIE1,LIMS2,RAI2,ACACB,CLDN18,CAT,RGCC,TBX2,SEMA5A,TNNC1,FEZ1,CRYAB,NOTCH4,HEG1,EMP2,CAV2,KLF2,KCNJ8,TMEM100,ARHGEF15,CD34,LPL,ENG,CHRDL1,HOXA5,QKI,PDLIM2,GATA2,VSTM4,CDO1,WFS1,KL,PCDH12,DLC1,GATA6,ANGPT1,TBX3,KLF4,SOSTDC1,ADRB2,ZBTB16,CPB2,GHR,WIF1,KANK2,TGFBR2,EML1,SEMA3G,ID4"
"GO:BP","positive regulation of biological process","GO:0048518","false","6.670516852805167e-13","12.175840514265635","6264","182","107","21026","FAM107A,CD36,GRK5,EDNRB,CDH5,AGER,NPR1,TEK,TCF21,JAM2,PECAM1,GPM6A,DUOX1,VWF,FHL1,FABP4,FOXF1,AGTR1,LDB2,ABCA8,TAL1,RAMP2,RASIP1,ACADL,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,ADARB1,LRRN3,SPOCK2,S1PR1,TACC1,GPM6B,SLIT2,FGFR4,ASPA,FHL5,MMRN2,SVEP1,TIE1,LIMS2,PPM1F,ACACB,FCN3,FXYD1,CAT,RGCC,TBX2,SEMA5A,FEZ1,SPTBN1,NOTCH4,HEG1,EMP2,ADIRF,LYVE1,MFNG,SESN1,RAMP3,CAV2,KLF2,KCNJ8,TMEM100,ARHGEF15,MACF1,CD34,ERG,LRRC32,LPL,ENG,CFD,HOXA5,QKI,THBD,SRPX,GATA2,ARRB1,WFS1,DOCK4,LMO2,KL,DLC1,GATA6,ANGPT1,TBX3,KLF4,ADRB2,PID1,ZBTB16,PTPRD,CPB2,GHR,WIF1,AHNAK,GAB2,TGFBR2,VIPR1,ABHD6,TRPV2,LIMCH1,HBB,SELP,SEMA3G,ID4"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","1.7797453583104727e-12","11.749642131057222","2956","182","69","21026","CD36,EDNRB,CDH5,AGER,NPR1,TEK,JAM2,FABP4,AGTR1,TAL1,RAMP2,ACADL,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,LRRN3,S1PR1,GPM6B,SLIT2,ASPA,MMRN2,SVEP1,TIE1,PPM1F,ACACB,FXYD1,CLDN18,RGCC,TBX2,SEMA5A,TNNC1,SPTBN1,NOTCH4,HEG1,EMP2,KLF2,KCNJ8,TMEM100,MACF1,CD34,LRRC32,LPL,ENG,HOXA5,QKI,THBD,GATA2,ARRB1,DOCK4,KL,GATA6,ANGPT1,TBX3,KLF4,SOSTDC1,ADRB2,ZBTB16,PTPRD,CPB2,GHR,TGFBR2,ABHD6,TRPV2,SELP,SEMA3G,ID4"
"GO:BP","regulation of multicellular organismal development","GO:2000026","false","5.080355916208413e-12","11.294105861135227","1418","182","46","21026","CD36,CDH5,AGER,NPR1,TEK,JAM2,TAL1,RAMP2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,LRRN3,S1PR1,GPM6B,SLIT2,ASPA,MMRN2,TIE1,ACACB,CLDN18,RGCC,TBX2,SEMA5A,NOTCH4,EMP2,KLF2,TMEM100,MACF1,CD34,ENG,HOXA5,QKI,GATA2,KL,GATA6,TBX3,KLF4,ADRB2,ZBTB16,PTPRD,TGFBR2,TRPV2,SEMA3G,ID4"
"GO:BP","regulation of cell motility","GO:2000145","false","5.816113068843775e-12","11.235367159112979","1022","182","39","21026","FAM107A,CDH5,AGER,TEK,JAM2,PECAM1,STARD13,DUOX1,FOXF1,LDB2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,ADARB1,SPOCK2,S1PR1,SLIT2,MMRN2,TIE1,PPM1F,RGCC,SEMA5A,EMP2,LYVE1,MACF1,ENG,GATA2,DOCK4,DLC1,ANGPT1,KLF4,DACH1,TGFBR2,ABHD6,LIMCH1,SELP,SEMA3G"
"GO:BP","locomotion","GO:0040011","false","7.578183072264711e-12","11.12043490733313","1255","182","43","21026","FAM107A,EDNRB,CDH5,AGER,TEK,JAM2,PECAM1,STARD13,DUOX1,FOXF1,AGTR1,LDB2,TGFBR3,CLDN5,FZD4,CAV1,SASH1,ADARB1,SPOCK2,S1PR1,SLIT2,SLIT3,MMRN2,TIE1,PPM1F,RGCC,SEMA5A,EMP2,LYVE1,MACF1,ENG,GATA2,DOCK4,DLC1,ANGPT1,KLF4,DACH1,TGFBR2,ABHD6,ANOS1,LIMCH1,SELP,SEMA3G"
